DATASET=TINY,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
53,197,10.479433962264148,9.011320754716982,24.43077145901148%,4.69811320754717,[-1.0, 13.0],148.33333333333334
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
DENIED|,1|,NONE|,NONE|,0|,0|,['F3', 'F5', 'F2']|,src=2|, dest=30|
DENIED|,2|,NONE|,NONE|,0|,0|,['F2', 'F4', 'F3', 'F5', 'F1']|,src=34|, dest=22|
APPROVED|,3|,R3P1|,24.662112932604735%|,9.07|,9.9|,['F1']|,[11, 49, 55, 52, 21]|
DENIED|,4|,NONE|,NONE|,0|,0|,['F5', 'F4', 'F3', 'F2', 'F1']|,src=40|, dest=1|
APPROVED|,5|,R5P1|,31.32339791356185%|,16.89|,11.700000000000001|,['F4', 'F3', 'F2']|,[3, 46, 53, 58, 59, 40]|
APPROVED|,6|,R6P1|,24.93897996357013%|,12.11|,9.7|,['F2', 'F3', 'F1', 'F4', 'F5']|,[22, 53, 58, 48, 9]|
APPROVED|,7|,R7P1|,22.175644028103044%|,7.81|,7.2|,['F1', 'F4']|,[28, 55, 49, 10]|
APPROVED|,8|,R8P1|,24.868852459016388%|,9.45|,7.4|,['F4', 'F5', 'F3', 'F1']|,[18, 51, 49, 10]|
DENIED|,9|,NONE|,NONE|,0|,0|,['F4', 'F2', 'F5', 'F3', 'F1']|,src=35|, dest=12|
APPROVED|,10|,R10P2|,25.634873323397915%|,14.390000000000002|,11.899999999999999|,['F4', 'F3', 'F1']|,[8, 48, 58, 59, 49, 10]|
APPROVED|,11|,R11P1|,16.093676814988292%|,7.43|,7.5|,['F1', 'F5']|,[31, 56, 48, 7]|
APPROVED|,12|,R12P1|,17.065573770491802%|,9.790000000000001|,6.8999999999999995|,['F2', 'F5', 'F4']|,[12, 49, 59, 42]|
APPROVED|,13|,R13P3|,27.448998178506375%|,10.18|,9.6|,['F4']|,[10, 49, 55, 47, 6]|
APPROVED|,14|,R14P1|,22.104735883424407%|,9.23|,9.799999999999999|,['F5']|,[8, 48, 58, 59, 40]|
DENIED|,15|,NONE|,NONE|,0|,0|,['F5', 'F2', 'F3']|,src=35|, dest=3|
DENIED|,16|,NONE|,NONE|,0|,0|,['F5', 'F3', 'F2', 'F1', 'F4']|,src=21|, dest=17|
APPROVED|,17|,R17P1|,10.234426229508198%|,6.93|,5.0|,['F2', 'F5', 'F4']|,[25, 54, 27]|
DENIED|,18|,NONE|,NONE|,0|,0|,['F4', 'F1', 'F5', 'F3']|,src=9|, dest=25|
DENIED|,19|,NONE|,NONE|,0|,0|,['F1', 'F5', 'F3']|,src=17|, dest=38|
APPROVED|,20|,R20P1|,24.868852459016388%|,11.000000000000002|,7.4|,['F1', 'F4', 'F2', 'F3', 'F5']|,[16, 51, 49, 10]|
APPROVED|,21|,R21P2|,36.017304189435336%|,11.289999999999997|,9.3|,['F1']|,[10, 49, 54, 60, 45]|
APPROVED|,22|,R22P1|,22.651053864168613%|,8.44|,7.800000000000001|,['F1']|,[19, 52, 47, 6]|
DENIED|,23|,NONE|,NONE|,0|,0|,['F4', 'F3', 'F1', 'F5', 'F2']|,src=39|, dest=45|
DENIED|,24|,NONE|,NONE|,0|,0|,['F2', 'F1', 'F5', 'F4', 'F3']|,src=7|, dest=5|
APPROVED|,25|,R25P2|,21.749544626593806%|,11.1|,9.9|,['F5', 'F2', 'F4']|,[38, 58, 48, 56, 31]|
