DATASET=TINY,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
164,86,8.710853658536585,7.471341463414633,36.4581167532987%,3.9451219512195124,[21.3, 35.3],27.72
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
APPROVED|,37|,R37P1|,31.065573770491806%|,10.979999999999999|,7.9|,['F1']|,[49, 19, 10, 9]|
APPROVED|,38|,R38P1|,36.885245901639344%|,8.97|,5.3|,['F2', 'F5', 'F3']|,[8, 1, 41]|
APPROVED|,39|,R39P1|,45.08196721311475%|,9.84|,7.1|,['F1', 'F4', 'F3', 'F5']|,[41, 20, 46, 12]|
APPROVED|,40|,R40P1|,36.22950819672131%|,3.7399999999999998|,5.7|,['F4']|,[17, 2, 39]|
APPROVED|,41|,R41P1|,39.91803278688524%|,8.71|,7.6|,['F4', 'F1']|,[3, 11, 20, 46]|
APPROVED|,42|,R42P3|,29.016393442622952%|,14.000000000000002|,12.1|,['F2', 'F4', 'F5', 'F1']|,[13, 33, 21, 2, 39, 31]|
APPROVED|,43|,R43P1|,47.049180327868854%|,7.66|,7.300000000000001|,['F5', 'F4', 'F2', 'F3', 'F1']|,[41, 20, 18, 47]|
APPROVED|,44|,R44P1|,37.213114754098356%|,10.59|,5.1000000000000005|,['F4', 'F2', 'F5', 'F1', 'F3']|,[44, 9, 10]|
APPROVED|,45|,R45P1|,49.50819672131148%|,10.270000000000001|,8.0|,['F3', 'F2', 'F4', 'F1']|,[43, 8, 34, 9]|
APPROVED|,46|,R46P4|,30.721311475409834%|,10.779999999999998|,10.200000000000001|,['F3', 'F1']|,[50, 19, 8, 43, 39]|
APPROVED|,47|,R47P1|,33.278688524590166%|,9.08|,7.300000000000001|,['F1', 'F4', 'F5', 'F2']|,[35, 27, 29, 5]|
APPROVED|,48|,R48P3|,46.85245901639344%|,11.15|,10.200000000000001|,['F4', 'F2']|,[42, 47, 49, 11, 23]|
APPROVED|,49|,R49P1|,13.278688524590162%|,5.640000000000001|,5.2|,['F1', 'F4']|,[39, 31, 7]|
DENIED|,50|,NONE|,NONE|,0|,0|,['F5']|,src=47|, dest=6|
APPROVED|,51|,R51P1|,27.13114754098361%|,5.48|,7.5|,['F1']|,[5, 11, 20, 41]|
APPROVED|,52|,R52P1|,45.819672131147534%|,10.08|,7.7|,['F3', 'F1']|,[43, 8, 34, 35]|
APPROVED|,53|,R53P1|,36.22950819672131%|,9.44|,7.7|,['F4']|,[22, 10, 19, 49]|
APPROVED|,54|,R54P1|,36.22950819672132%|,10.81|,9.900000000000002|,['F4', 'F5']|,[11, 20, 18, 24, 48]|
APPROVED|,55|,R55P1|,52.622950819672134%|,7.99|,5.0|,['F1', 'F5', 'F4', 'F3', 'F2']|,[46, 20, 18]|
APPROVED|,56|,R56P1|,13.60655737704918%|,8.91|,7.4|,['F3', 'F2', 'F4', 'F1', 'F5']|,[4, 40, 31, 32]|
APPROVED|,57|,R57P2|,39.18032786885246%|,8.85|,7.4|,['F5']|,[4, 26, 41, 1]|
APPROVED|,58|,R58P1|,30.573770491803277%|,12.43|,7.4|,['F2', 'F5', 'F4', 'F3', 'F1']|,[29, 5, 49, 16]|
APPROVED|,59|,R59P2|,8.688524590163933%|,7.92|,7.7|,['F1']|,[39, 31, 32, 5]|
APPROVED|,60|,R60P1|,40.49180327868853%|,7.4|,5.300000000000001|,['F2']|,[9, 44, 1]|
APPROVED|,61|,R61P1|,41.147540983606554%|,6.49|,5.4|,['F3', 'F2', 'F1', 'F5', 'F4']|,[35, 34, 9]|
APPROVED|,62|,R62P1|,33.278688524590166%|,7.220000000000001|,5.300000000000001|,['F2', 'F5']|,[50, 29, 5]|
APPROVED|,63|,R63P1|,10.655737704918034%|,4.78|,5.0|,['F5']|,[7, 31, 40]|
APPROVED|,64|,R64P1|,35.57377049180328%|,4.87|,6.0|,['F4']|,[24, 36, 6]|
APPROVED|,65|,R65P1|,52.459016393442624%|,7.359999999999999|,7.6000000000000005|,['F4', 'F5', 'F3', 'F2']|,[6, 47, 18, 20]|
APPROVED|,66|,R66P2|,51.57377049180327%|,11.59|,9.7|,['F5', 'F3', 'F2', 'F1', 'F4']|,[20, 18, 47, 42, 37]|
