DATASET=TINY,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
50,200,14.875000000000005,12.68,44.33259953161593%,6.26,[12.23, 26.23],145.775
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
DENIED|,50|,NONE|,NONE|,0|,0|,['F4', 'F5', 'F3', 'F1', 'F2']|,src=265|, dest=160|
DENIED|,51|,NONE|,NONE|,0|,0|,['F4', 'F3', 'F5', 'F2']|,src=256|, dest=266|
APPROVED|,52|,R52P3|,30.459016393442624%|,16.810000000000002|,14.4|,['F5']|,[238, 380, 321, 396, 318, 302, 4]|
DENIED|,53|,NONE|,NONE|,0|,0|,['F1', 'F2', 'F5']|,src=146|, dest=297|
APPROVED|,54|,R54P1|,33.44262295081967%|,16.36|,12.1|,['F1', 'F2', 'F3', 'F5']|,[166, 356, 302, 381, 363, 189]|
DENIED|,55|,NONE|,NONE|,0|,0|,['F1', 'F3', 'F5', 'F4']|,src=20|, dest=79|
DENIED|,56|,NONE|,NONE|,0|,0|,['F5', 'F2']|,src=114|, dest=138|
DENIED|,57|,NONE|,NONE|,0|,0|,['F3', 'F5', 'F4', 'F2']|,src=176|, dest=271|
APPROVED|,58|,R58P1|,48.25136612021858%|,10.88|,9.6|,['F1']|,[141, 347, 376, 365, 193]|
DENIED|,59|,NONE|,NONE|,0|,0|,['F5']|,src=224|, dest=153|
DENIED|,60|,NONE|,NONE|,0|,0|,['F5', 'F1']|,src=38|, dest=10|
DENIED|,61|,NONE|,NONE|,0|,0|,['F2', 'F4', 'F5']|,src=141|, dest=91|
DENIED|,62|,NONE|,NONE|,0|,0|,['F2', 'F3', 'F5', 'F4']|,src=88|, dest=140|
DENIED|,63|,NONE|,NONE|,0|,0|,['F5', 'F2']|,src=71|, dest=135|
DENIED|,64|,NONE|,NONE|,0|,0|,['F1', 'F4', 'F3']|,src=256|, dest=90|
DENIED|,65|,NONE|,NONE|,0|,0|,['F2', 'F4']|,src=14|, dest=41|
DENIED|,66|,NONE|,NONE|,0|,0|,['F1', 'F2', 'F4', 'F3', 'F5']|,src=219|, dest=271|
DENIED|,67|,NONE|,NONE|,0|,0|,['F5', 'F3', 'F4', 'F1']|,src=263|, dest=85|
