DATASET=TINY,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
53,197,16.125094339622642,15.311320754716983,28.802949094776682%,7.452830188679245,[41.77333333333333, 55.77333333333333],142.34107142857144
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
APPROVED|,41|,R41P1|,31.578184110970998%|,16.229999999999997|,13.7|,['F3']|,[241, 23, 22, 21, 20, 49, 344]|
DENIED|,42|,NONE|,NONE%|,0|,0|,['F1', 'F3', 'F4', 'F5']|,src=570|,dest=291|
APPROVED|,43|,R43P1|,24.317850637522767%|,11.680000000000001|,9.700000000000001|,['F3', 'F1', 'F4', 'F2', 'F5']|,[174, 6, 22, 53, 360]|
DENIED|,44|,NONE|,NONE%|,0|,0|,['F4', 'F3', 'F1', 'F2', 'F5']|,src=260|,dest=195|
DENIED|,45|,NONE|,NONE%|,0|,0|,['F3', 'F5', 'F2', 'F1']|,src=386|,dest=296|
DENIED|,46|,NONE|,NONE%|,0|,0|,['F5', 'F4']|,src=232|,dest=286|
DENIED|,47|,NONE|,NONE%|,0|,0|,['F4', 'F2', 'F5']|,src=179|,dest=172|
DENIED|,48|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F5', 'F3', 'F1']|,src=472|,dest=545|
DENIED|,49|,NONE|,NONE%|,0|,0|,['F4', 'F5', 'F3']|,src=182|,dest=389|
APPROVED|,50|,R50P1|,30.493694829760404%|,11.5|,13.399999999999999|,['F2']|,[189, 10, 1, 2, 14, 38, 301]|
DENIED|,51|,NONE|,NONE%|,0|,0|,['F5', 'F3', 'F4', 'F2', 'F1']|,src=412|,dest=437|
