DATASET=TINY,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
142,108,19.206408450704224,16.69929577464789,32.23329216715686%,8.084507042253522,[42.48, 56.48],143.93392857142857
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
APPROVED|,31|,R31P4|,42.23848555815769%|,25.759999999999998|,22.000000000000004|,['F5', 'F4']|,[189, 10, 1, 2, 3, 4, 18, 46, 47, 104, 565]|
APPROVED|,32|,R32P2|,34.43744607420191%|,26.050000000000004|,21.1|,['F1', 'F2', 'F5']|,[201, 13, 2, 3, 4, 18, 19, 48, 106, 573]|
APPROVED|,33|,R33P1|,31.094985535197686%|,19.909999999999997|,19.3|,['F3']|,[353, 51, 21, 6, 7, 8, 25, 59, 383]|
APPROVED|,34|,R34P3|,38.21967213114753%|,13.959999999999997|,15.4|,['F1', 'F2']|,[302, 38, 39, 15, 3, 4, 18, 222]|
APPROVED|,35|,R35P7|,36.06049960967994%|,24.989999999999995|,23.099999999999998|,['F2', 'F4', 'F5']|,[532, 96, 43, 17, 16, 15, 14, 13, 12, 33, 282]|
APPROVED|,36|,R36P1|,37.30974978429681%|,23.150000000000002|,21.5|,['F4', 'F2', 'F3', 'F5']|,[505, 89, 40, 15, 14, 13, 12, 33, 76, 453]|
APPROVED|,37|,R37P3|,38.84163934426229%|,29.419999999999998|,27.3|,['F2', 'F3', 'F4', 'F1', 'F5']|,[590, 110, 50, 20, 21, 6, 7, 8, 9, 10, 30, 69, 424]|
APPROVED|,38|,R38P1|,31.051912568306008%|,11.799999999999999|,8.8|,['F5', 'F3', 'F2', 'F4', 'F1']|,[190, 10, 9, 8, 180]|
APPROVED|,39|,R39P3|,35.864480874316946%|,17.759999999999998|,17.200000000000003|,['F4', 'F3']|,[514, 91, 41, 42, 43, 44, 45, 330]|
APPROVED|,40|,R40P1|,27.24888226527571%|,15.969999999999997|,12.200000000000003|,['F4', 'F5', 'F3', 'F2', 'F1']|,[337, 47, 48, 49, 108, 581]|
APPROVED|,41|,R41P1|,37.32145402708482%|,25.889999999999997|,24.6|,['F2']|,[553, 101, 46, 18, 4, 3, 2, 1, 10, 30, 69, 425]|
APPROVED|,42|,R42P7|,35.01466781708369%|,20.99|,20.8|,['F5', 'F4', 'F1', 'F3']|,[531, 96, 43, 17, 16, 15, 14, 13, 12, 197]|
APPROVED|,43|,R43P1|,36.07250945775536%|,16.480000000000004|,13.700000000000001|,['F4', 'F1']|,[159, 3, 4, 17, 43, 95, 529]|
APPROVED|,44|,R44P1|,40.867759562841535%|,18.96|,16.5|,['F1', 'F5', 'F3']|,[171, 6, 5, 4, 3, 15, 39, 304]|
APPROVED|,45|,R45P5|,36.542154566744735%|,23.03|,23.2|,['F3']|,[476, 82, 83, 37, 14, 15, 16, 17, 44, 97, 537]|
APPROVED|,46|,R46P3|,34.57377049180328%|,22.960000000000008|,20.100000000000005|,['F2', 'F4', 'F1', 'F3', 'F5']|,[421, 68, 29, 10, 9, 8, 7, 23, 22, 237]|
DENIED|,47|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F5', 'F3']|,src=270|,dest=592|
APPROVED|,48|,R48P1|,51.06842480399145%|,28.83|,25.400000000000002|,['F3']|,[566, 104, 47, 19, 5, 6, 7, 8, 9, 28, 65, 409]|
DENIED|,49|,NONE|,NONE%|,0|,0|,['F2', 'F1', 'F3', 'F5', 'F4']|,src=582|,dest=438|
APPROVED|,50|,R50P1|,32.52498048399688%|,26.479999999999997|,23.7|,['F1', 'F5', 'F2']|,[322, 43, 17, 4, 3, 2, 1, 11, 32, 74, 445]|
APPROVED|,51|,R51P1|,29.818225650916105%|,21.19|,18.599999999999998|,['F2']|,[187, 10, 1, 2, 3, 16, 42, 94, 524]|
APPROVED|,52|,R52P6|,39.09479686386315%|,28.51|,25.300000000000004|,['F5']|,[248, 25, 8, 7, 6, 5, 4, 17, 43, 42, 93, 519]|
DENIED|,53|,NONE|,NONE%|,0|,0|,['F3', 'F1']|,src=282|,dest=582|
APPROVED|,54|,R54P3|,39.00285103349964%|,26.100000000000005|,25.400000000000002|,['F5']|,[403, 64, 27, 9, 8, 7, 6, 21, 20, 49, 108, 580]|
DENIED|,55|,NONE|,NONE%|,0|,0|,['F2']|,src=187|,dest=211|
APPROVED|,56|,R56P1|,20.31238615664845%|,12.049999999999999|,10.2|,['F1']|,[289, 35, 13, 14, 204]|
APPROVED|,57|,R57P1|,18.967213114754095%|,13.42|,12.0|,['F5', 'F1', 'F3']|,[396, 62, 26, 25, 59, 383]|
DENIED|,58|,NONE|,NONE%|,0|,0|,['F4', 'F2', 'F5']|,src=264|,dest=363|
APPROVED|,59|,R59P4|,41.6427955133736%|,25.000000000000004|,20.799999999999997|,['F1', 'F5', 'F4', 'F2', 'F3']|,[565, 104, 47, 46, 18, 17, 43, 42, 94, 523]|
DENIED|,60|,NONE|,NONE%|,0|,0|,['F2', 'F5', 'F1', 'F4']|,src=435|,dest=517|
APPROVED|,61|,R61P1|,17.388888888888886%|,11.869999999999997|,10.200000000000001|,['F3', 'F5', 'F1', 'F2']|,[231, 21, 22, 23, 239]|
APPROVED|,62|,R62P3|,34.02362584378013%|,22.369999999999997|,18.5|,['F5', 'F2', 'F3', 'F4']|,[200, 13, 14, 15, 16, 17, 44, 98, 540]|
DENIED|,63|,NONE|,NONE%|,0|,0|,['F5', 'F4']|,src=358|,dest=256|
DENIED|,64|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F5', 'F4', 'F3']|,src=193|,dest=550|
